customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaymentMethod,InternetService,TechSupport,OnlineSecurity,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
CUST-11992,Male,0,Yes,Yes,40,Month-To-Month,Bank transfer,Fiber optic,No,Yes,No,71.14,2946.22,No
CUST-14999,Female,0,No,No,9,Two Year,Mailed check,DSL,No,Yes,No,53.87,498.24,No
CUST-12621,Male,1,Yes,Yes,72,Two Year,Electronic check,DSL,Yes,Yes,Yes,32.71,2450.59,No
CUST-10471,Female,0,No,No,24,Two Year,Bank transfer,DSL,No,Yes,Yes,49.89,1187.32,No
CUST-12219,Male,1,No,No,5,Month-To-Month,Mailed check,DSL,No,No,No,52.42,255.69,No
CUST-12195,Female,1,No,No,5,Month-To-Month,Bank transfer,Fiber optic,No,No,No,77.14,383.18,Yes
CUST-11852,Female,0,No,Yes,1,Two Year,Electronic check,DSL,No,No,Yes,41.94,43.75,No
CUST-10439,Male,0,Yes,Yes,50,Month-To-Month,Electronic check,DSL,No,No,Yes,34.97,1689.2,No
CUST-13736,Male,0,No,Yes,28,Month-To-Month,Electronic check,Fiber optic,Yes,No,Yes,85.63,2297.2,No
CUST-14092,Male,0,Yes,No,22,One Year,Bank transfer,Fiber optic,No,No,Yes,93.22,2061.39,Yes
CUST-10670,Male,0,No,No,28,One Year,Electronic check,No,No internet service,No internet service,Yes,23.89,645.17,No
CUST-14454,Male,0,No,No,20,Month-To-Month,Electronic check,Fiber optic,No,No,Yes,66.53,1395.91,No
CUST-14084,Male,0,No,No,3,Two Year,Credit card,No,No internet service,No internet service,No,43.82,136.12,No
CUST-11816,Female,0,No,Yes,0,One Year,Mailed check,Fiber optic,Yes,Yes,No,108.01,0.0,Yes
CUST-14773,Male,0,No,No,65,Month-To-Month,Electronic check,No,No internet service,No internet service,Yes,18.25,1192.53,No
CUST-14607,Female,0,Yes,No,17,One Year,Credit card,Fiber optic,No,Yes,No,98.74,1728.83,No
CUST-14802,Male,0,Yes,Yes,16,Two Year,Credit card,DSL,No,No,No,54.98,899.66,No
CUST-14624,Male,0,Yes,No,35,Month-To-Month,Mailed check,Fiber optic,No,Yes,No,90.11,3019.48,Yes
CUST-12496,Female,0,No,Yes,1,One Year,Bank transfer,DSL,No,No,Yes,55.21,52.47,No
CUST-12424,Male,0,No,No,1,Month-To-Month,Bank transfer,Fiber optic,Yes,No,Yes,78.59,76.53,Yes
CUST-11263,Male,0,No,No,9,Month-To-Month,Credit card,DSL,Yes,No,Yes,64.71,586.53,No
CUST-12011,Male,0,No,No,7,One Year,Electronic check,DSL,Yes,No,Yes,50.18,350.93,Yes
CUST-12582,Female,0,No,No,6,One Year,Bank transfer,DSL,No,Yes,No,62.72,369.53,No
CUST-12284,Female,0,No,No,19,Month-To-Month,Electronic check,DSL,No,No,Yes,45.46,902.12,Yes
CUST-13855,Male,1,Yes,No,3,Month-To-Month,Credit card,DSL,No,No,No,53.24,157.32,No
CUST-14448,Female,1,No,Yes,23,Month-To-Month,Bank transfer,DSL,No,No,No,60.88,1360.12,No
CUST-13265,Female,0,No,Yes,6,Month-To-Month,Credit card,No,No internet service,No internet service,No,25.66,147.48,No
CUST-13279,Female,0,Yes,No,66,Month-To-Month,Electronic check,Fiber optic,Yes,No,Yes,88.94,5618.24,No
CUST-13790,Female,0,No,No,72,One Year,Mailed check,Fiber optic,No,Yes,Yes,76.76,5330.68,No
CUST-14740,Male,0,Yes,Yes,40,Month-To-Month,Bank transfer,No,No internet service,No internet service,Yes,29.57,1216.32,No
CUST-11196,Female,1,No,No,47,One Year,Bank transfer,DSL,Yes,Yes,Yes,61.94,3004.31,No
CUST-13550,Male,0,Yes,No,18,Month-To-Month,Electronic check,No,No internet service,No internet service,Yes,18.25,314.45,No
CUST-14450,Female,0,No,No,19,Month-To-Month,Mailed check,DSL,No,Yes,Yes,23.82,460.81,No
CUST-13670,Female,0,No,Yes,69,Month-To-Month,Electronic check,Fiber optic,Yes,Yes,Yes,82.51,5781.25,No
CUST-12870,Female,0,Yes,Yes,2,One Year,Credit card,DSL,No,Yes,Yes,46.42,88.65,No
CUST-13721,Male,0,Yes,No,33,Month-To-Month,Mailed check,No,No internet service,No internet service,No,25.48,835.0,No
CUST-13578,Female,0,Yes,No,1,One Year,Bank transfer,DSL,Yes,No,Yes,49.09,48.25,Yes
CUST-13318,Male,1,Yes,Yes,15,One Year,Bank transfer,Fiber optic,No,No,No,76.01,1187.31,No
CUST-11708,Female,0,No,No,13,Month-To-Month,Electronic check,Fiber optic,Yes,No,Yes,65.64,876.36,Yes
CUST-11646,Male,0,Yes,No,8,One Year,Electronic check,No,No internet service,No internet service,No,29.11,243.03,No
CUST-10967,Female,0,No,No,2,Month-To-Month,Credit card,Fiber optic,No,Yes,Yes,86.4,168.09,Yes
CUST-10322,Female,0,Yes,Yes,27,One Year,Electronic check,DSL,No,No,No,54.63,1466.31,Yes
CUST-13027,Male,0,Yes,No,72,Two Year,Mailed check,DSL,No,Yes,No,52.81,3843.92,No
CUST-12382,Female,0,Yes,No,31,Month-To-Month,Mailed check,No,No internet service,No internet service,Yes,24.63,733.21,No
CUST-13273,Male,0,Yes,No,2,One Year,Electronic check,Fiber optic,Yes,Yes,Yes,89.72,175.19,Yes
CUST-12853,Female,0,No,No,22,Two Year,Bank transfer,No,No internet service,No internet service,No,28.39,601.43,No
CUST-10557,Female,0,Yes,Yes,13,One Year,Credit card,Fiber optic,Yes,No,No,108.8,1381.92,Yes
CUST-10261,Female,0,Yes,No,40,Two Year,Mailed check,DSL,Yes,Yes,Yes,37.54,1471.54,No
CUST-10853,Male,0,No,No,62,Month-To-Month,Electronic check,Fiber optic,No,No,Yes,59.5,3507.79,No
CUST-14219,Female,0,Yes,No,17,One Year,Electronic check,Fiber optic,No,No,Yes,93.52,1604.78,Yes
CUST-11087,Female,0,No,Yes,26,Two Year,Mailed check,No,No internet service,No internet service,Yes,22.63,584.46,Yes
CUST-12633,Female,0,Yes,Yes,8,One Year,Electronic check,No,No internet service,No internet service,Yes,19.04,153.71,No
CUST-11901,Male,0,Yes,No,16,Month-To-Month,Mailed check,Fiber optic,No,No,Yes,107.32,1786.24,Yes
CUST-12118,Male,0,No,No,38,Month-To-Month,Mailed check,No,No internet service,No internet service,Yes,18.25,671.64,No
CUST-10800,Male,0,No,No,24,Month-To-Month,Bank transfer,Fiber optic,No,No,Yes,65.56,1521.41,No
CUST-10666,Female,1,Yes,No,72,One Year,Bank transfer,Fiber optic,Yes,No,Yes,111.76,7841.81,No
CUST-11316,Female,0,No,Yes,7,Month-To-Month,Electronic check,Fiber optic,No,No,Yes,84.05,577.67,Yes
CUST-13059,Female,0,No,No,3,One Year,Mailed check,No,No internet service,No internet service,No,22.71,67.01,No
CUST-10737,Male,1,No,No,4,One Year,Electronic check,Fiber optic,Yes,No,Yes,94.83,385.56,Yes
CUST-10009,Female,1,No,No,45,Month-To-Month,Credit card,Fiber optic,No,Yes,Yes,80.37,3708.73,No
CUST-14906,Male,0,Yes,Yes,25,One Year,Bank transfer,No,No internet service,No internet service,No,20.98,505.74,No
CUST-14511,Female,0,Yes,No,29,Month-To-Month,Electronic check,Fiber optic,No,Yes,Yes,89.71,2605.45,No
CUST-14069,Female,0,No,Yes,47,One Year,Electronic check,DSL,No,Yes,No,46.97,2221.75,No
CUST-12719,Female,0,Yes,No,72,Month-To-Month,Electronic check,DSL,No,Yes,No,62.38,4504.69,No
CUST-12260,Male,0,No,No,30,Month-To-Month,Credit card,Fiber optic,Yes,No,No,87.18,2731.03,No
CUST-11597,Male,0,Yes,No,22,Two Year,Mailed check,No,No internet service,No internet service,No,36.82,779.82,No
CUST-14002,Male,0,No,No,42,Month-To-Month,Mailed check,DSL,Yes,Yes,Yes,66.72,2665.68,No
CUST-10940,Female,0,Yes,No,13,Two Year,Credit card,DSL,No,No,No,50.83,653.05,No
CUST-10841,Female,0,No,Yes,15,One Year,Bank transfer,DSL,No,Yes,Yes,44.07,631.51,Yes
CUST-13533,Female,0,No,No,0,Month-To-Month,Bank transfer,No,No internet service,No internet service,No,20.94,0.0,No
CUST-12047,Male,0,Yes,No,13,One Year,Mailed check,DSL,Yes,Yes,Yes,63.48,852.64,No
CUST-11188,Male,0,Yes,Yes,15,Month-To-Month,Mailed check,No,No internet service,No internet service,No,31.21,447.96,No
CUST-11806,Female,0,Yes,Yes,9,Month-To-Month,Electronic check,Fiber optic,No,No,Yes,49.03,446.2,No
CUST-12634,Female,1,Yes,No,1,Month-To-Month,Credit card,Fiber optic,No,No,Yes,99.35,95.8,Yes
CUST-14137,Female,0,No,Yes,4,Month-To-Month,Electronic check,Fiber optic,No,No,No,88.61,364.36,Yes
CUST-12058,Female,1,No,No,32,Two Year,Credit card,DSL,No,Yes,Yes,72.42,2400.01,No
CUST-11971,Male,1,No,No,72,Two Year,Credit card,DSL,No,No,No,70.95,5291.87,No
CUST-13482,Male,1,No,No,3,Month-To-Month,Electronic check,DSL,No,No,Yes,57.65,178.23,Yes
CUST-10590,Male,0,No,Yes,72,One Year,Electronic check,No,No internet service,No internet service,Yes,29.88,2116.88,No
CUST-10445,Male,0,Yes,No,8,Two Year,Credit card,DSL,No,No,No,66.3,531.36,No
CUST-10033,Female,0,No,No,56,One Year,Mailed check,No,No internet service,No internet service,Yes,18.25,1031.03,No
CUST-14814,Female,0,No,No,72,Month-To-Month,Electronic check,DSL,No,No,Yes,50.3,3605.52,No
CUST-10331,Male,0,Yes,Yes,4,Month-To-Month,Electronic check,Fiber optic,Yes,No,Yes,77.01,302.12,Yes
CUST-12919,Female,0,No,No,9,Two Year,Bank transfer,Fiber optic,No,No,Yes,64.32,573.3,No
CUST-10966,Male,0,Yes,No,20,One Year,Mailed check,Fiber optic,No,No,Yes,114.01,2203.42,Yes
CUST-10928,Female,1,Yes,Yes,11,Month-To-Month,Mailed check,DSL,No,No,No,53.73,581.85,No
CUST-14081,Female,1,Yes,No,23,Month-To-Month,Bank transfer,DSL,No,No,No,29.03,674.8,No
CUST-11767,Male,0,Yes,Yes,33,One Year,Electronic check,Fiber optic,No,No,Yes,71.6,2461.61,Yes
CUST-13447,Male,0,No,No,4,Two Year,Electronic check,Fiber optic,Yes,Yes,Yes,77.06,318.25,No
CUST-14876,Female,0,Yes,No,1,Month-To-Month,Electronic check,Fiber optic,No,No,Yes,82.0,84.56,No
CUST-10849,Female,0,No,No,7,One Year,Electronic check,DSL,Yes,Yes,Yes,59.12,433.73,No
CUST-12591,Female,0,Yes,No,32,Two Year,Bank transfer,Fiber optic,No,Yes,No,70.18,2342.38,No
CUST-12940,Male,0,No,No,5,Month-To-Month,Bank transfer,No,No internet service,No internet service,No,18.25,91.4,No
CUST-10209,Male,0,No,No,2,Month-To-Month,Electronic check,Fiber optic,No,No,No,117.28,227.23,No
CUST-11655,Male,0,Yes,No,7,Month-To-Month,Mailed check,DSL,No,No,No,29.3,197.55,No
CUST-13427,Male,0,Yes,No,0,Month-To-Month,Mailed check,DSL,Yes,Yes,No,63.82,0.0,No
CUST-13175,Female,0,No,No,3,Two Year,Bank transfer,Fiber optic,No,No,No,72.14,208.82,No
CUST-14159,Male,0,Yes,Yes,33,Month-To-Month,Mailed check,Fiber optic,No,No,Yes,90.43,2856.02,Yes
CUST-10451,Female,0,Yes,No,18,Month-To-Month,Mailed check,No,No internet service,No internet service,No,18.25,334.67,No
CUST-12296,Male,0,No,Yes,33,Two Year,Credit card,Fiber optic,No,Yes,Yes,75.11,2428.78,No
CUST-14038,Female,0,No,No,14,Month-To-Month,Electronic check,Fiber optic,No,No,Yes,96.69,1337.16,Yes
CUST-10379,Male,0,Yes,Yes,13,Two Year,Mailed check,Fiber optic,No,Yes,No,94.08,1225.73,No
CUST-12809,Female,1,Yes,Yes,42,One Year,Electronic check,DSL,No,Yes,No,74.57,3176.79,No
CUST-11518,Female,0,Yes,No,13,Month-To-Month,Electronic check,No,No internet service,No internet service,Yes,31.79,429.12,No
CUST-13752,Male,0,No,Yes,3,Two Year,Bank transfer,DSL,No,No,Yes,67.45,201.51,No
CUST-14473,Female,0,No,No,72,One Year,Mailed check,DSL,No,No,Yes,54.69,4112.31,No
CUST-13912,Male,1,Yes,No,31,Two Year,Mailed check,Fiber optic,No,No,Yes,81.75,2573.19,No
CUST-14863,Male,1,Yes,Yes,33,Month-To-Month,Electronic check,Fiber optic,No,No,No,85.47,2774.55,Yes
CUST-11796,Male,0,No,No,16,One Year,Mailed check,DSL,No,No,Yes,52.59,871.72,No
CUST-12409,Female,0,Yes,Yes,36,Month-To-Month,Electronic check,Fiber optic,Yes,Yes,Yes,88.44,3107.8,Yes
CUST-12512,Female,0,No,No,3,One Year,Credit card,No,No internet service,No internet service,No,23.83,73.96,No
CUST-10939,Female,1,Yes,No,36,One Year,Bank transfer,Fiber optic,Yes,No,No,70.57,2468.02,No
CUST-13385,Female,0,No,Yes,0,One Year,Mailed check,DSL,Yes,No,No,42.62,0.0,No
CUST-10456,Female,0,No,No,9,Month-To-Month,Bank transfer,DSL,Yes,No,No,60.62,536.81,No
CUST-11863,Female,0,Yes,No,28,Month-To-Month,Credit card,No,No internet service,No internet service,Yes,24.11,664.89,No
CUST-14012,Female,1,No,No,4,Month-To-Month,Mailed check,Fiber optic,No,Yes,No,68.95,276.74,No
CUST-14165,Male,0,Yes,Yes,44,Month-To-Month,Mailed check,Fiber optic,No,No,No,87.72,3754.31,No
CUST-12922,Male,1,No,Yes,21,Two Year,Electronic check,DSL,No,Yes,Yes,44.87,928.37,No
CUST-14136,Female,1,No,No,0,One Year,Credit card,No,No internet service,No internet service,No,18.25,0.0,No
CUST-14226,Male,0,Yes,Yes,24,Month-To-Month,Mailed check,Fiber optic,No,No,No,81.07,1988.08,No
CUST-14315,Male,0,No,Yes,20,Month-To-Month,Electronic check,Fiber optic,No,Yes,No,86.59,1760.77,Yes
CUST-13781,Male,0,Yes,No,29,Month-To-Month,Bank transfer,Fiber optic,Yes,Yes,No,69.86,2036.49,No
CUST-14295,Female,0,No,Yes,18,Month-To-Month,Credit card,No,No internet service,No internet service,Yes,30.85,542.84,No
CUST-14948,Male,0,No,No,72,Month-To-Month,Mailed check,DSL,Yes,No,No,50.36,3608.68,No
CUST-11036,Female,0,Yes,No,4,Month-To-Month,Mailed check,Fiber optic,Yes,No,Yes,72.48,299.06,No
CUST-11204,Male,1,Yes,No,1,Two Year,Electronic check,Fiber optic,No,Yes,Yes,88.74,89.54,Yes
CUST-10738,Male,0,No,No,3,Month-To-Month,Bank transfer,DSL,No,No,Yes,40.57,122.54,Yes
CUST-14879,Male,0,No,Yes,55,Month-To-Month,Electronic check,DSL,Yes,No,Yes,56.26,3081.85,No
CUST-13812,Female,0,Yes,Yes,72,Two Year,Mailed check,DSL,No,Yes,Yes,65.24,4701.82,No
CUST-11344,Male,0,Yes,No,24,Month-To-Month,Bank transfer,Fiber optic,Yes,No,Yes,107.09,2676.73,Yes
CUST-14791,Male,0,Yes,No,44,Two Year,Mailed check,Fiber optic,Yes,No,No,102.69,4496.66,No
CUST-10894,Female,1,No,Yes,2,One Year,Electronic check,Fiber optic,Yes,No,Yes,90.67,178.24,No
CUST-13242,Female,0,Yes,No,34,Month-To-Month,Mailed check,No,No internet service,No internet service,No,25.17,844.25,No
CUST-13381,Female,0,Yes,No,23,One Year,Credit card,Fiber optic,No,Yes,Yes,74.3,1770.01,No
CUST-14466,Female,1,No,No,14,Two Year,Bank transfer,DSL,No,Yes,Yes,36.7,526.84,No
CUST-12957,Male,0,Yes,Yes,18,Two Year,Mailed check,DSL,Yes,No,Yes,51.61,910.15,No
CUST-14306,Female,0,No,No,0,Month-To-Month,Mailed check,Fiber optic,No,No,Yes,107.12,0.0,Yes
CUST-11126,Female,0,Yes,No,2,One Year,Bank transfer,Fiber optic,No,No,Yes,99.1,199.07,Yes
CUST-13882,Male,0,No,No,2,Month-To-Month,Bank transfer,No,No internet service,No internet service,Yes,27.19,55.82,No
CUST-10779,Male,0,Yes,No,30,Month-To-Month,Bank transfer,Fiber optic,Yes,Yes,No,57.69,1726.71,No
CUST-12650,Female,0,No,No,1,Month-To-Month,Electronic check,DSL,Yes,No,Yes,59.64,60.04,No
CUST-14757,Female,0,No,No,11,Month-To-Month,Electronic check,DSL,No,No,Yes,70.46,736.41,No
CUST-11059,Female,0,No,No,65,Month-To-Month,Electronic check,Fiber optic,No,Yes,No,60.72,3953.88,No
CUST-10836,Male,1,No,No,35,Month-To-Month,Mailed check,DSL,No,No,Yes,55.56,1909.71,No
CUST-11967,Female,0,No,No,12,Month-To-Month,Bank transfer,No,No internet service,No internet service,No,20.53,242.24,Yes
CUST-12023,Male,0,No,Yes,10,Two Year,Bank transfer,Fiber optic,No,No,Yes,100.03,971.84,Yes
CUST-10922,Male,0,Yes,No,21,Month-To-Month,Mailed check,No,No internet service,No internet service,Yes,18.25,398.85,No
CUST-11920,Male,0,No,No,62,Two Year,Bank transfer,Fiber optic,Yes,Yes,Yes,98.22,6264.41,No
CUST-10715,Female,0,No,No,9,Month-To-Month,Mailed check,No,No internet service,No internet service,Yes,22.59,199.7,No
CUST-10660,Female,0,No,No,26,Two Year,Mailed check,Fiber optic,No,No,No,81.47,2064.28,No
CUST-12840,Male,0,Yes,No,72,Month-To-Month,Mailed check,Fiber optic,No,No,No,72.91,5251.84,No
CUST-11429,Male,0,No,No,23,Two Year,Electronic check,DSL,Yes,No,Yes,69.47,1548.28,No
CUST-14087,Male,0,Yes,Yes,25,Two Year,Credit card,Fiber optic,No,No,No,80.8,2053.68,No
CUST-11922,Female,0,No,No,50,One Year,Electronic check,Fiber optic,No,No,Yes,99.96,5243.85,No
CUST-11203,Female,1,Yes,No,29,Month-To-Month,Electronic check,No,No internet service,No internet service,Yes,28.36,846.87,No
CUST-11625,Male,0,No,No,21,One Year,Credit card,Fiber optic,Yes,No,Yes,93.8,1906.8,No
CUST-12586,Female,0,No,No,5,Two Year,Bank transfer,No,No internet service,No internet service,No,23.36,118.68,No
CUST-11959,Male,0,Yes,No,2,One Year,Mailed check,Fiber optic,No,No,Yes,79.33,158.34,Yes
CUST-14952,Male,0,Yes,No,11,Two Year,Bank transfer,No,No internet service,No internet service,Yes,23.4,247.78,No
CUST-11037,Male,0,No,No,53,Two Year,Bank transfer,Fiber optic,No,No,No,74.08,4083.1,No
CUST-11278,Male,0,No,No,39,Month-To-Month,Credit card,Fiber optic,No,No,Yes,82.26,3169.43,Yes
CUST-10115,Female,0,Yes,No,11,Month-To-Month,Electronic check,No,No internet service,No internet service,Yes,29.13,322.54,No
CUST-13145,Female,0,Yes,No,43,Two Year,Electronic check,Fiber optic,No,No,No,63.78,2871.03,No
CUST-13137,Female,1,No,Yes,10,Two Year,Electronic check,Fiber optic,Yes,Yes,No,76.89,735.78,No
CUST-14443,Female,0,No,No,10,Two Year,Bank transfer,Fiber optic,No,No,Yes,110.44,1122.82,Yes
CUST-10158,Male,0,Yes,No,2,Month-To-Month,Credit card,Fiber optic,No,Yes,Yes,81.13,163.47,No
CUST-10279,Female,0,No,No,32,One Year,Electronic check,No,No internet service,No internet service,No,35.9,1114.91,No
CUST-14246,Male,0,Yes,No,8,Month-To-Month,Mailed check,Fiber optic,No,No,Yes,70.07,546.43,Yes
CUST-10838,Female,0,Yes,No,11,Month-To-Month,Electronic check,DSL,Yes,Yes,Yes,55.78,637.35,No
CUST-10017,Female,0,Yes,No,18,One Year,Credit card,No,No internet service,No internet service,Yes,28.0,511.27,No
CUST-14818,Male,0,Yes,No,25,Month-To-Month,Mailed check,Fiber optic,Yes,No,Yes,67.7,1717.53,No
CUST-14180,Male,0,Yes,No,29,Month-To-Month,Electronic check,Fiber optic,Yes,No,Yes,91.71,2738.42,Yes
CUST-10437,Female,0,No,Yes,15,Two Year,Electronic check,No,No internet service,No internet service,No,25.49,383.31,No
CUST-11916,Female,0,No,No,8,Month-To-Month,Electronic check,Fiber optic,Yes,No,Yes,87.61,681.08,Yes
CUST-12574,Male,1,No,No,38,Two Year,Mailed check,DSL,No,No,Yes,64.84,2486.0,No
CUST-11567,Female,1,No,No,5,Month-To-Month,Credit card,No,No internet service,No internet service,Yes,31.93,163.4,No
CUST-13907,Male,0,No,Yes,31,One Year,Bank transfer,Fiber optic,No,No,No,111.09,3352.2,No
CUST-13757,Female,0,Yes,Yes,7,Month-To-Month,Electronic check,DSL,No,Yes,Yes,54.21,394.69,No
CUST-13407,Female,0,Yes,Yes,25,One Year,Bank transfer,DSL,No,No,Yes,40.05,1006.73,No
CUST-10198,Male,0,Yes,No,24,Month-To-Month,Electronic check,Fiber optic,Yes,Yes,No,98.9,919.41,Yes
CUST-11230,Male,0,Yes,No,45,Two Year,Bank transfer,Fiber optic,Yes,No,No,89.29,3861.06,No
CUST-10024,Female,0,Yes,Yes,4,One Year,Electronic check,Fiber optic,Yes,Yes,No,82.48,315.24,Yes
CUST-11456,Female,1,No,Yes,13,One Year,Credit card,Fiber optic,No,No,Yes,41.57,550.07,No
CUST-13957,Male,0,Yes,No,24,Month-To-Month,Mailed check,DSL,No,Yes,No,47.24,1114.43,No
CUST-11820,Male,0,Yes,Yes,15,Month-To-Month,Bank transfer,DSL,No,No,Yes,44.99,658.92,Yes
